177.08, 

00:26:33 --> 57.29, 31.25, 98.96, 26.04, 46.88, 31.25, 15.63, 62.50, 46.88, 20.83, 41.67, 52.08, 20.83, 20.83, 10.42, 15.63, 10.42, 20.83, 5.21, 5.21, 10.42, 46.88, 5.21, 20.83, 46.88, 31.25, 20.83, 26.04, 5.21, 5.21, -26.04, -20.83, -20.83, -10.42, -15.63, -57.29, -15.63, -15.63, 15.63, 36.46, 26.04, 15.63, 36.46, 20.83, 62.50, 57.29, 36.46, 41.67, 41.67, 46.88, 46.88, 52.08, 62.50, 41.67, 41.67, 46.88, 41.67, 41.67, 46.88, 

00:27:34 --> 31.25, 62.50, 46.88, 36.46, 0.00, -10.42, -15.63, 15.63, 26.04, 46.88, 10.42, 10.42, 20.83, 26.04, 15.63, 41.67, 20.83, 83.33, 72.92, 57.29, 20.83, 41.67, 5.21, 15.63, 41.67, 41.67, 41.67, 72.92, 36.46, 46.88, 46.88, 57.29, 20.83, 31.25, 31.25, 41.67, 20.83, 31.25, 31.25, 41.67, 57.29, 15.63, 41.67, 36.46, 20.83, 62.50, 31.25, 36.46, 36.46, 46.88, 62.50, 41.67, 46.88, 41.67, 41.67, 52.08, 36.46, 62.50, 52.08, 

00:28:35 --> 26.04, 31.25, 36.46, 62.50, 31.25, 46.88, 62.50, 26.04, 20.83, 10.42, 5.21, -26.04, 20.83, 5.21, -5.21, -5.21, 31.25, -5.21, -5.21, -15.63, -15.63, 10.42, 26.04, 20.83, 5.21, 31.25, 31.25, 57.29, -5.21, -26.04, -31.25, -10.42, 15.63, 41.67, 31.25, 26.04, 46.88, 31.25, 5.21, 15.63, 10.42, 36.46, 57.29, 36.46, 26.04, 26.04, 10.42, -15.63, -78.12, -5.21, -10.42, -15.63, -15.63, -10.42, -10.42, -15.63, -10.42, 15.63, 15.63, 

00:29:36 --> 26.04, 36.46, 52.08, 36.46, 26.04, 10.42, 31.25, 15.63, 10.42, -20.83, 15.63, -5.21, -15.63, -31.25, -5.21, -15.63, -20.83, -15.63, -20.83, -26.04, -10.42, -20.83, 0.00, 20.83, 5.21, -15.63, -20.83, -5.21, -5.21, -10.42, -15.63, -10.42, -26.04, -10.42, 26.04, 20.83, 36.46, 67.71, 26.04, 5.21, 62.50, 15.63, 26.04, 20.83, 31.25, 31.25, 46.88, 10.42, 20.83, 26.04, 15.63, 10.42, 10.42, 10.42, 5.21, -10.42, 10.42, 15.63, 15.63, 

00:30:37 --> 52.08, 46.88, 31.25, 62.50, 67.71, 46.88, 46.88, 41.67, 83.33, 31.25, 31.25, 26.04, 52.08, 41.67, 62.50, 57.29, 31.25, 31.25, 57.29, 31.25, 20.83, 52.08, 57.29, 83.33, 46.88, 36.46, 41.67, 31.25, 41.67, 67.71, 36.46, 26.04, 31.25, 0.00, -15.63, 15.63, 15.63, 15.63, 20.83, 15.63, 26.04, 5.21, 36.46, 26.04, 20.83, 10.42, 31.25, 36.46, 26.04, 26.04, 31.25, 46.88, 41.67, 31.25, 31.25, 36.46, 31.25, 15.63, 26.04, 

